Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Ilaix Moriba,GUI,MF,Valencia,La Liga,20,13,0,267,222,83.15,1,1,1,100.0,10,11,1
Cristhian Mosquera,COL,DF,Valencia,La Liga,18,3,0,65,53,81.54,0,1,0,0.0,2,3,1
Youssoufa Moukoko,GER,FW,Dortmund,Bundesliga,18,18,6,163,116,71.17,3,3,0,0.0,6,5,1
Divin Mubama,ENG,FW,West Ham,Premier League,18,1,0,0,0,,0,0,0,,0,0,1
Mykhailo Mudryk,UKR,FW,Chelsea,Premier League,22,3,0,51,41,80.39,0,1,0,0.0,6,1,1
Mert Müldür,TUR,DF,Sassuolo,Serie A,23,1,0,1,1,100.0,0,0,0,,0,0,1
Pablo Muñoz,ESP,MF,Rayo Vallecano,La Liga,19,2,0,3,3,100.0,0,0,0,,0,0,1
Yunus Musah,USA,MF,Valencia,La Liga,20,18,0,566,459,81.1,2,20,2,10.0,24,13,0
Jamal Musiala,GER,MFFW,Bayern Munich,Bundesliga,19,19,10,615,508,82.6,7,5,0,0.0,15,9,0
Suliman Mustapha,AUT,FWMF,Mainz 05,Bundesliga,21,5,0,18,9,50.0,0,0,0,,2,1,1
Vitaliy Mykolenko,UKR,DFMF,Everton,Premier League,23,21,0,903,687,76.08,0,35,8,22.86,17,14,0
Obite N'Dicka,FRA,DF,Eint Frankfurt,Bundesliga,23,19,0,1055,902,85.5,0,1,0,0.0,11,48,0
Nathan N'Goumou,FRA,FW,Toulouse,Ligue 1,22,1,0,30,25,83.33,0,1,1,100.0,2,1,1
Nathan N'Goumou,FRA,FW,M'Gladbach,Bundesliga,22,10,0,100,75,75.0,0,9,2,22.22,3,5,1
Stanley N'Soki,FRA,DF,Hoffenheim,Bundesliga,23,14,1,684,561,82.02,0,0,0,,11,18,0
Nikolas Nartey,DEN,DFMF,Stuttgart,Bundesliga,22,6,0,206,165,80.1,0,6,1,16.67,4,6,1
Roberto Navarro,ESP,MFFW,Real Sociedad,La Liga,20,14,0,121,87,71.9,0,13,0,0.0,3,5,1
Michel Ndary Adopo,FRA,MFDF,Torino,Serie A,22,7,0,131,113,86.26,0,0,0,,2,8,1
Papa Ndiaga Yade,SEN,DFMF,Troyes,Ligue 1,23,8,0,178,128,71.91,1,18,4,22.22,4,4,1
Reiss Nelson,ENG,FW,Arsenal,Premier League,23,2,2,40,36,90.0,1,1,1,100.0,0,0,1
Pedro Neto,POR,FWMF,Wolves,Premier League,22,8,0,238,176,73.95,0,45,3,6.67,6,0,1
Luca Netz,GER,DFFW,M'Gladbach,Bundesliga,19,8,0,58,42,72.41,1,1,0,0.0,4,1,1
Jessic Ngankam,GER,MFFW,Hertha BSC,Bundesliga,22,4,0,17,8,47.06,0,0,0,,1,2,1
