Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,20,1,550,411,74.73,2,45,2,4.44,9,6,0
Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,14,0,424,342,80.66,0,9,3,33.33,12,8,0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,20,1,1297,1189,91.67,0,7,2,28.57,16,10,0
Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,5,1,21,15,71.43,0,2,1,50.0,1,3,1
Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,11,1,15,7,46.67,0,2,0,0.0,1,1,1
Abner,BRA,DF,Betis,La Liga,22,4,0,164,118,71.95,0,4,0,0.0,7,3,1
Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,22,5,424,295,69.58,4,16,1,6.25,12,7,1
Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2,0,21,18,85.71,0,1,0,0.0,1,0,1
Tyler Adams,USA,MF,Leeds United,Premier League,23,19,0,1088,893,82.08,0,2,0,0.0,38,17,0
Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,5,0,41,29,70.73,0,0,0,,3,6,1
Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,21,15,2,280,206,73.57,1,15,0,0.0,6,7,1
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,13,1,240,191,79.58,2,6,0,0.0,8,11,1
Yacine Adli,FRA,MFFW,Milan,Serie A,22,4,0,60,38,63.33,0,4,0,0.0,3,0,1
Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,20,12,0,90,71,78.89,0,3,0,0.0,2,8,1
Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,5,0,182,151,82.97,0,3,1,33.33,7,10,1
Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,3,0,27,17,62.96,0,1,0,0.0,0,1,1
Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2,0,12,9,75.0,0,1,0,0.0,0,0,1
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,17,2,530,450,84.91,2,6,2,33.33,11,7,0
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,1,0,11,7,63.64,0,0,0,,1,0,1
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,21,17,1,491,399,81.26,0,21,5,23.81,16,13,0
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,22,15,0,541,416,76.89,0,4,1,25.0,26,19,0
Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,6,0,104,78,75.0,0,9,0,0.0,3,2,1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,3,1,49,37,75.51,0,0,0,,2,0,1
Doðan Alemdar,TUR,GK,Rennes,Ligue 1,20,3,0,72,49,68.06,0,0,0,,0,2,1
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,1,0,1,1,100.0,0,0,0,,0,0,1
Ángel Algobia,ESP,MF,Getafe,La Liga,23,14,0,369,304,82.38,0,7,3,42.86,7,6,1
Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,19,8,0,74,46,62.16,2,15,3,20.0,3,1,1
Faride Alidou,GER,DFMF,Eint Frankfurt,Bundesliga,21,9,0,56,42,75.0,0,2,1,50.0,4,1,1
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,18,2,686,559,81.49,3,45,6,13.33,24,9,0
Carlos Álvarez,ESP,FW,Sevilla,La Liga,19,1,0,0,0,,0,0,0,,1,0,1
Gastón Álvarez,URU,DF,Getafe,La Liga,22,10,2,204,134,65.69,0,5,1,20.0,9,14,1
Julián Álvarez,ARG,FWMF,Manchester City,Premier League,23,16,4,201,159,79.1,0,8,1,12.5,5,5,1
Agustín Álvarez Martínez,URU,FWMF,Sassuolo,Serie A,21,16,1,65,52,80.0,1,2,0,0.0,2,8,1
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,1,0,17,12,70.59,0,0,0,,1,1,1
Bruno Amione,ARG,DF,Sampdoria,Serie A,21,10,0,418,322,77.03,1,3,1,33.33,14,29,1
Ethan Ampadu,WAL,DFMF,Spezia,Serie A,22,16,0,736,550,74.73,1,10,4,40.0,25,35,0
Elliot Anderson,SCO,FWMF,Newcastle Utd,Premier League,20,10,0,73,56,76.71,0,3,0,0.0,3,5,1
Jaidon Anthony,ENG,MFFW,Bournemouth,Premier League,23,17,3,344,251,72.97,0,31,5,16.13,13,8,1
Janis Antiste,FRA,FW,Sassuolo,Serie A,20,2,1,17,13,76.47,0,0,0,,0,2,1
Marcos Antônio,BRA,MF,Lazio,Serie A,22,11,0,204,182,89.22,0,0,0,,4,0,1
Antony,BRA,FW,Manchester Utd,Premier League,22,12,3,413,319,77.24,0,18,0,0.0,3,3,1
Valentin Antov,BUL,DF,Monza,Serie A,22,4,0,112,92,82.14,0,1,0,0.0,4,3,1
Adil Aouchiche,FRA,MFFW,Lorient,Ligue 1,20,6,0,56,42,75.0,0,7,0,0.0,0,0,1
Ronald Araújo,URU,DF,Barcelona,La Liga,23,10,0,625,555,88.8,1,1,0,0.0,9,20,0
Cameron Archer,ENG,FWMF,Aston Villa,Premier League,21,6,0,13,9,69.23,0,1,0,0.0,0,0,1
Taïryk Arconte,FRA,FWMF,Brest,Ligue 1,19,2,0,1,1,100.0,0,0,0,,0,0,1
Roberto Arroyo,ESP,MF,Valladolid,La Liga,19,1,0,4,0,0.0,0,1,0,0.0,1,0,1
Kristoffer Askildsen,NOR,MF,Lecce,Serie A,22,16,0,220,141,64.09,0,19,0,0.0,3,17,1
Fisnik Asllani,KVX,FWMF,Hoffenheim,Bundesliga,20,4,0,26,15,57.69,0,2,0,0.0,0,0,1
Kristjan Asllani,ALB,MF,Inter,Serie A,20,12,0,225,195,86.67,0,8,0,0.0,4,0,1
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,6,0,106,87,82.08,1,2,0,0.0,2,2,1
Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,21,10,0,134,80,59.7,0,9,0,0.0,9,7,1
Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,1,0,0,0,,0,0,0,,0,0,1
Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,19,1,0,0,0,,0,0,0,,0,0,1
Loïc Bade,FRA,DF,Sevilla,La Liga,22,6,0,382,342,89.53,0,2,0,0.0,6,8,1
Loïc Bade,FRA,DF,Rennes,Ligue 1,22,1,0,59,52,88.14,1,0,0,,1,2,1
Benoît Badiashile,FRA,DF,Chelsea,Premier League,21,4,0,356,326,91.57,0,0,0,,2,16,1
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,11,2,469,404,86.14,0,0,0,,8,21,0
Alex Baena,ESP,MFFW,Villarreal,La Liga,21,18,4,393,304,77.35,1,13,1,7.69,9,0,1
Brandon Baiye,BEL,MF,Clermont Foot,Ligue 1,22,7,0,30,26,86.67,0,0,0,,2,0,1
Stefan Bajcetic,ESP,MF,Liverpool,Premier League,18,5,1,102,81,79.41,0,4,1,25.0,2,4,1
Nedim Bajrami,ALB,MFFW,Empoli,Serie A,23,19,1,346,259,74.86,1,35,0,0.0,4,2,1
Nedim Bajrami,ALB,MF,Sassuolo,Serie A,23,1,0,6,4,66.67,0,0,0,,0,0,1
Mitchel Bakker,NED,MFDF,Leverkusen,Bundesliga,22,17,2,592,468,79.05,1,14,2,14.29,7,9,0
Tommaso Baldanzi,ITA,MF,Empoli,Serie A,19,13,4,314,261,83.12,0,6,0,0.0,7,2,1
Alejandro Balde,ESP,DF,Barcelona,La Liga,19,18,0,879,797,90.67,4,19,4,21.05,18,5,0
Thierno Balde,FRA,DF,Troyes,Ligue 1,20,18,0,596,497,83.39,0,21,2,9.52,11,2,0
Carlos Baleba,CMR,MF,Lille,Ligue 1,19,9,0,190,159,83.68,0,0,0,,9,1,1
Folarin Balogun,ENG,FW,Reims,Ligue 1,21,21,14,285,186,65.26,1,12,0,0.0,2,9,1
Lameck Banda,ZAM,FWMF,Lecce,Serie A,22,22,1,262,163,62.21,1,31,1,3.23,11,5,1
Bradley Barcola,FRA,FWMF,Lyon,Ligue 1,20,12,1,100,72,72.0,1,3,0,0.0,5,5,1
Melvin Bard,FRA,DF,Nice,Ligue 1,22,20,0,887,699,78.8,0,35,3,8.57,38,19,0
Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,23,18,0,301,202,67.11,2,4,1,25.0,18,20,1
Ander Barrenetxea,ESP,FWDF,Real Sociedad,La Liga,21,7,1,68,52,76.47,0,0,0,,3,4,1
Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,19,5,0,183,155,84.7,0,3,0,0.0,4,2,1
Alessandro Bastoni,ITA,DF,Inter,Serie A,23,17,0,984,821,83.43,2,20,4,20.0,12,28,0
Maximilian Bauer,GER,DF,Augsburg,Bundesliga,23,15,0,411,294,71.53,0,1,0,0.0,10,43,1
Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,23,20,5,612,420,68.63,3,20,2,10.0,11,33,0
Brian Bayeye,FRA,DF,Torino,Serie A,22,1,0,46,29,63.04,0,1,0,0.0,0,0,1
Gavin Bazunu,IRL,GK,Southampton,Premier League,20,22,0,805,488,60.62,0,0,0,,0,10,0
Julius Beck,DEN,MF,Spezia,Serie A,17,1,0,6,6,100.0,0,0,0,,1,0,1
Yanis Begraoui,FRA,FWMF,Toulouse,Ligue 1,21,3,0,20,14,70.0,0,0,0,,0,0,1
Alexis Beka Beka,FRA,MF,Nice,Ligue 1,21,8,0,172,140,81.4,0,5,0,0.0,4,1,1
Armel Bella Kotchap,GER,DF,Southampton,Premier League,21,13,0,456,344,75.44,1,4,0,0.0,7,24,0
Raoul Bellanova,ITA,DFMF,Inter,Serie A,22,10,0,113,84,74.34,0,14,1,7.14,2,2,1
Jude Bellingham,ENG,MF,Dortmund,Bundesliga,19,19,4,1025,828,80.78,4,19,2,10.53,29,26,0
Jeanöel Belocian,FRA,DF,Rennes,Ligue 1,17,1,0,5,5,100.0,0,0,0,,0,0,1
Eliesse Ben Seghir,FRA,FW,Monaco,Ligue 1,17,7,3,166,133,80.12,1,2,0,0.0,7,3,1
Salim Ben Seghir,FRA,MF,Marseille,Ligue 1,19,1,0,0,0,,0,0,0,,0,0,1
Mitchell van Bergen,NED,FWDF,Reims,Ligue 1,23,18,0,181,113,62.43,1,38,3,7.89,5,2,1
Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,20,2,0,95,63,66.32,0,5,0,0.0,9,1,1
Owen Bevan,WAL,DF,Bournemouth,Premier League,19,1,0,3,2,66.67,0,0,0,,0,0,1
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,20,3,0,56,48,85.71,0,1,0,0.0,1,1,1
Giulian Biancone,FRA,DF,Nott'ham Forest,Premier League,22,2,0,20,14,70.0,0,1,0,0.0,1,2,1
El Bilal Touré,MLI,FW,Almería,La Liga,21,15,4,198,141,71.21,2,3,1,33.33,2,34,1
El Bilal Touré,MLI,FW,Reims,Ligue 1,21,3,0,20,16,80.0,0,0,0,,0,3,1
Samuele Birindelli,ITA,DF,Monza,Serie A,23,18,0,499,363,72.75,1,55,9,16.36,10,2,0
Tom Bischof,GER,MFFW,Hoffenheim,Bundesliga,17,6,0,79,60,75.95,0,6,1,16.67,6,0,1
Blanco,ESP,MF,Cádiz,La Liga,22,3,0,60,56,93.33,0,0,0,,4,3,1
Lautaro Blanco,ARG,MFDF,Elche,La Liga,23,5,0,102,59,57.84,1,21,2,9.52,2,0,1
Joaquín Blázquez,ARG,GK,Brest,Ligue 1,22,1,0,29,21,72.41,0,0,0,,0,0,1
Myron Boadu,NED,FW,Monaco,Ligue 1,22,4,1,6,2,33.33,0,0,0,,0,3,1
